year,name,area
2000,Acapulco,15696930.1
2005,Acapulco,19285516.76
2010,Acapulco,20962554
2015,Acapulco,21271770.08
2020,Acapulco,27707587.41
2022,Acapulco,29333708.79
ALL,Acapulco,550035425.6
2000,Cabo San Lucas,2060652.245
2005,Cabo San Lucas,3981583.507
2010,Cabo San Lucas,6315192.669
2015,Cabo San Lucas,7572633.649
2020,Cabo San Lucas,8959868.884
2022,Cabo San Lucas,7064349.047
ALL,Cabo San Lucas,55357498.72
2000,Cancun,18696028.44
2005,Cancun,25826582.98
2010,Cancun,35488582.49
2015,Cancun,34546014.55
2020,Cancun,40593457.03
2022,Cancun,31532694.08
ALL,Cancun,689084471.5
2000,Cozumel,6278283.92
2005,Cozumel,4100439.206
2010,Cozumel,7314441.61
2015,Cozumel,4928407.744
2020,Cozumel,4959208.743
2022,Cozumel,3131293.472
ALL,Cozumel,624763016.3
2000,Playa Del Carmen,1426457.67
2005,Playa Del Carmen,3808274.922
2010,Playa Del Carmen,6785406.195
2015,Playa Del Carmen,7731997.563
2020,Playa Del Carmen,12318441.42
2022,Playa Del Carmen,8874411.798
ALL,Playa Del Carmen,135263621.4
2000,Puerto Vallarta,6334984.153
2005,Puerto Vallarta,9661324.801
2010,Puerto Vallarta,12580746.9
2015,Puerto Vallarta,12246096.4
2020,Puerto Vallarta,17461120.91
2022,Puerto Vallarta,18230828.54
ALL,Puerto Vallarta,636608363.3
2000,San Jose del Cabo,918141.5278
2005,San Jose del Cabo,1903121.305
2010,San Jose del Cabo,3262267.674
2015,San Jose del Cabo,4040597.044
2020,San Jose del Cabo,4079339.242
2022,San Jose del Cabo,3351024.848
ALL,San Jose del Cabo,48280027.47
2000,Tulum,890172.4102
2005,Tulum,768498.759
2010,Tulum,1236319.2
2015,Tulum,857685.1663
2020,Tulum,1426491.87
2022,Tulum,893239.0075
ALL,Tulum,90755495.49
2000,Veracruz,51966063.73
2005,Veracruz,71119001.04
2010,Veracruz,74682219.02
2015,Veracruz,75440293.12
2020,Veracruz,72547083.56
2022,Veracruz,88645315.73
ALL,Veracruz,256326433.8
